var,label,missing%,n_uniq,waves_ok
a0710,주된 장애유형_현재 최종 내용,0.0,15,6
aarea,(가공) 실 거주지역,0.0,3,6
aca0403,(가공) 임금근로자 근속기간(조사월 기준),0.0,455,6
ae0401,자격증 보유 여부(누적),0.0,2,6
ae1508,(가공) 취업시 도움을 줄 수 있는 사람의 수,0.0,6,6
area,실 거주지역,0.0,17,6
birthy,출생연도,0.0,50,6
ca1101,일자리 주요 특성_일자리 분류,0.0,9,6
ca1201,일자리 주요 특성_근로자 수(전체),0.0,196,6
ca1203,일자리 주요 특성_근로자 수(사업장),0.0,165,6
ca1205,일자리 주요 특성_장애인 근로자 수(사업장),0.0,11,6
ca1301,일자리 주요 특성_장애인을 위해 구성된 일자리 여부,0.0,3,6
ca1302,일자리 주요 특성_계절적/주기적 일자리 여부,0.0,3,6
ca1401,고용형태_근로기간(계약기간) 명시 여부,0.0,2,6
ca1801,고용형태_파견(용역)_급여를 받는 곳,0.0,3,6
ca1701,고용형태_근무시간 형태(전일제/시간제),0.0,2,6
ca2510,근로시간_교대제 현황,0.0,8,6
ca2508,근로시간_지난달 장애/건강문제로 인한 결근여부,0.0,3,6
ca2201,고용형태_주로 일하는 장소,0.0,3,6
ca2202,고용형태_특수형태근로종사자 여부,0.0,2,6
ca2501,근로시간_주당 근무일 규정여부,0.0,3,6
ca2301,고용형태_비정규직 여부 자기판단,0.0,2,6
ca2505,근로시간_초과근로 빈도,0.0,5,6
ca2503,근로시간_일일 근무시간 규정여부,0.0,3,6
ca2601,임금 및 복리후생_임금 산정 방식,0.0,8,6
ca2507,근로시간_실제 근무시간,0.0,20,6
ca2506,근로시간_실제 근무일수,0.0,8,6
ca2803,임금 및 복리후생_고용보험 가입현황,0.0,3,6
ca2802,임금 및 복리후생_건강보험(직장가입) 가입현황,0.0,3,6
ca2801,임금 및 복리후생_국민연금(직장가입) 가입현황,0.0,3,6
ca2701,임금 및 복리후생_체불임금 여부,0.0,3,6
